cleaned_location,disease_count,latitude,longitude,total_tweets,disease_rate
WORLDWIDE,36,-33.8938107,151.2621478,36,100.0
#AFRICA #MENA,22,44.1535776,-70.697762,22,100.0
Brazil,13,-10.3333333,-53.2,13,100.0
"Berlin, Germany",10,52.5173885,13.3951309,10,100.0
"Edinburgh, Scotland",11,55.9533456,-3.1883749,11,100.0
Earth,13,34.2331373,-102.4107493,13,100.0
Odisha,14,20.5431241,84.6897321,14,100.0
Switzerland,42,46.7985624,8.2319736,44,95.45
"Bhubaneshwar, India",44,20.2602964,85.8394521,47,93.62
"Pune, India",13,18.5213738,73.8545071,14,92.86
"Chicago, IL",13,41.8755616,-87.6244212,14,92.86
mumbai,13,19.054999,72.8692035,14,92.86
"Belfast, Northern Ireland",12,54.5975805,-5.9277097,13,92.31
"Brussels, Belgium",12,50.8465573,4.351697,13,92.31
"Bhubaneswar, India",11,20.2602964,85.8394521,12,91.67
"Gujarat, India",11,22.3850051,71.745261,12,91.67
"Florida, USA",21,27.7567667,-81.4639835,23,91.3
"Jaipur, India",20,26.9154576,75.8189817,22,90.91
"Melbourne, Australia",18,-37.8142454,144.9631732,20,90.0
Worldwide,41,-33.8938107,151.2621478,46,89.13
"Manila, Philippines",24,14.5904492,120.9803621,27,88.89
"Beijing, China",15,40.190632,116.412144,17,88.24
"Geneva, Switzerland",22,46.2017559,6.1466014,25,88.0
"Hyderabad, India",29,17.360589,78.4740613,33,87.88
"Washington, DC",21,38.8950368,-77.0365427,24,87.5
"Mumbai, India",90,19.054999,72.8692035,103,87.38
United States,94,39.7837304,-100.445882,108,87.04
"Guwahati, India",13,26.1805978,91.753943,15,86.67
Canada,32,61.0666922,-107.991707,37,86.49
Europe,12,51.0,10.0,14,85.71
"Chennai, India",35,13.0836939,80.270186,41,85.37
India,275,22.3511148,78.6677428,323,85.14
Philippines,17,12.7503486,122.7312101,20,85.0
"Kerala, India",11,10.3528744,76.5120396,13,84.62
Qatar,11,25.3336984,51.2295295,13,84.62
Uganda,11,1.5333554,32.2166578,13,84.62
Hyderabad,11,17.360589,78.4740613,13,84.62
BENGALURU,16,12.9767936,77.590082,19,84.21
"South East, England",10,54.9498723,-1.3603654,12,83.33
"Pretoria, South Africa",15,-25.7459277,28.1879101,18,83.33
"Kuala Lumpur, Malaysia",10,3.1526589,101.7022205,12,83.33
"New Delhi, India",99,28.6419258,77.2217499,119,83.19
New York,18,40.7127281,-74.0060152,22,81.82
Scotland,9,56.7861112,-4.1140518,11,81.82
"Doha, Qatar",22,25.2856329,51.5264162,27,81.48
"Ahmadabad City, India",8,23.0215374,72.5800568,10,80.0
"Cape Town, South Africa",16,-33.9288301,18.4172197,20,80.0
"Dhaka, Bangladesh",12,23.7643863,90.3890144,15,80.0
"Los Angeles, CA",12,34.0536909,-118.242766,15,80.0
"Atlanta, GA",14,33.7544657,-84.3898151,18,77.78
"London, UK",31,51.4893335,-0.1440551,40,77.5
New Delhi,44,28.6419258,77.2217499,57,77.19
United Kingdom,85,54.7023545,-3.2765753,111,76.58
Global,28,55.702215,12.5592485,37,75.68
Mumbai,31,19.054999,72.8692035,41,75.61
"Dublin City, Ireland",12,53.3493795,-6.2605593,16,75.0
Africa,12,11.5024338,17.7578122,16,75.0
Lagos,9,6.4550575,3.3941795,12,75.0
Kenya,9,1.4419683,38.4313975,12,75.0
"Kampala, Uganda",9,0.3177137,32.5813539,12,75.0
London,82,51.5074456,-0.1277653,110,74.55
"Sydney, Australia",8,-33.8698439,151.2082848,11,72.73
"California, USA",32,36.7014631,-118.755997,44,72.73
"New York, NY",27,40.7127281,-74.0060152,38,71.05
England,12,52.5310214,-1.2649062,17,70.59
Australia,28,-24.7761086,134.755,40,70.0
"Texas, USA",14,31.2638905,-98.5456116,20,70.0
"London, England",95,51.4893335,-0.1440551,137,69.34
"New Delhi, Delhi",9,28.6419258,77.2217499,13,69.23
USA,20,39.7837304,-100.445882,29,68.97
"Abuja, Nigeria",13,9.0643305,7.4892974,19,68.42
Bangalore,13,12.9767936,77.590082,19,68.42
Ireland,27,52.865196,-7.9794599,40,67.5
Pakistan,14,30.3308401,71.247499,21,66.67
"Johannesburg, South Africa",37,-26.205,28.049722,56,66.07
South Africa,40,-28.8166236,24.991639,62,64.52
UK,43,54.7023545,-3.2765753,68,63.24
"Boston, MA",10,42.3554334,-71.060511,16,62.5
Hong Kong,8,22.350627,114.1849161,13,61.54
"Melbourne, Victoria",11,-37.8142454,144.9631732,18,61.11
"Bengaluru, India",11,12.9767936,77.590082,18,61.11
"Lagos, Nigeria",44,6.4550575,3.3941795,74,59.46
"Glasgow, Scotland",8,55.861155,-4.2501687,14,57.14
"Nairobi, Kenya",24,-1.3026148,36.828842,42,57.14
Chennai,13,13.0836939,80.270186,23,56.52
"England, United Kingdom",21,52.5310214,-1.2649062,38,55.26
"Brisbane, Queensland",6,-27.4689623,153.0235009,11,54.55
"Islamabad, Pakistan",6,33.6938118,73.0651511,11,54.55
"New York, USA",7,40.7127281,-74.0060152,13,53.85
Malaysia,10,4.5693754,102.2656823,19,52.63
Nigeria,33,9.6000359,7.9999721,64,51.56
Singapore,7,1.357107,103.8194992,14,50.0
"Noida, India",6,28.5706333,77.3272147,12,50.0
Nairobi,8,-1.2890006,36.8172812,17,47.06
"Vancouver, BC",7,49.2608724,-123.113952,15,46.67
Sri Lanka,8,7.5554942,80.7137847,19,42.11
